,Route ID,Difference
748,135,0 days 00:01:49
749,135,0 days 00:02:30
750,135,0 days 00:02:39
751,135,0 days 00:00:09
752,135,0 days 00:01:23
753,135,0 days 00:02:06
754,135,0 days 00:01:59
755,135,0 days 00:01:23
756,135,0 days 00:02:53
757,135,0 days 00:02:27
758,135,0 days 00:03:15
759,135,0 days 00:03:15
760,135,0 days 00:04:04
761,135,0 days 00:03:16
762,135,0 days 00:00:09
763,135,0 days 00:02:01
764,135,0 days 00:02:50
765,135,0 days 00:01:40
766,135,0 days 00:01:09
767,135,0 days 00:02:50
768,135,0 days 00:01:51
769,135,0 days 00:02:00
770,135,0 days 00:02:21
771,135,0 days 00:02:47
772,135,0 days 00:02:29
773,135,0 days 00:00:06
774,135,0 days 00:01:45
775,135,0 days 00:02:20
776,135,0 days 00:02:13
777,135,0 days 00:01:43
778,135,0 days 00:02:36
779,135,0 days 00:02:21
780,135,0 days 00:01:24
781,135,0 days 00:01:07
782,135,0 days 00:04:32
783,135,0 days 00:03:27
784,135,0 days 00:00:06
785,135,0 days 00:02:12
786,135,0 days 00:02:59
787,135,0 days 00:01:34
788,135,0 days 00:01:57
789,135,0 days 00:03:55
790,135,0 days 00:03:01
791,135,0 days 00:03:25
792,135,0 days 00:03:48
793,135,0 days 00:03:00
794,135,0 days 00:02:32
795,135,0 days 00:00:06
796,135,0 days 00:02:52
797,135,0 days 00:05:33
798,135,0 days 00:05:24
799,135,0 days 00:05:26
800,135,0 days 00:07:01
801,135,0 days 00:06:17
802,135,0 days 00:06:20
803,135,0 days 00:05:43
804,135,0 days 00:05:12
805,135,0 days 00:05:31
806,135,0 days 00:00:01
807,135,0 days 00:02:03
808,135,0 days 00:02:47
809,135,0 days 00:00:59
810,135,0 days 00:00:15
811,135,0 days 00:01:27
812,135,0 days 00:00:44
813,135,0 days 00:01:33
814,135,0 days 00:01:44
815,135,0 days 00:02:54
816,135,0 days 00:01:39
817,135,0 days 00:00:06
818,135,0 days 00:02:22
819,135,0 days 00:02:45
820,135,0 days 00:01:33
821,135,0 days 00:00:38
822,135,0 days 00:02:03
823,135,0 days 00:01:13
824,135,0 days 00:01:28
825,135,0 days 00:01:16
826,135,0 days 00:03:19
827,135,0 days 00:03:14
828,135,0 days 00:00:07
829,135,0 days 00:01:40
830,135,0 days 00:03:51
831,135,0 days 00:02:48
832,135,0 days 00:02:22
833,135,0 days 00:03:57
834,135,0 days 00:03:13
835,135,0 days 00:04:22
836,135,0 days 00:04:28
837,135,0 days 00:06:11
838,135,0 days 00:06:37
839,135,0 days 00:00:02
840,135,0 days 00:01:03
841,135,0 days 00:01:34
842,135,0 days 00:01:35
843,135,0 days 00:00:50
844,135,0 days 00:01:49
845,135,0 days 00:00:40
846,135,0 days 00:01:35
847,135,0 days 00:01:30
848,135,0 days 00:02:07
849,135,0 days 00:02:38
850,135,0 days 00:00:01
851,135,0 days 00:02:04
852,135,0 days 00:02:58
853,135,0 days 00:02:28
854,135,0 days 00:01:36
855,135,0 days 00:02:44
856,135,0 days 00:01:45
857,135,0 days 00:01:48
858,135,0 days 00:02:49
859,135,0 days 00:05:02
860,135,0 days 00:05:23
861,135,0 days 00:00:12
862,135,0 days 00:01:54
863,135,0 days 00:02:32
864,135,0 days 00:03:06
865,135,0 days 00:02:45
866,135,0 days 00:03:39
