,Vehicle ID,Trip ID,Route ID,Direction,Schedule Relationship,Current Stop Sequence,Current Stop ID,Timestamp,Location
3994,B715,24001-1-06-170-1234,169,1.0,0.0,2.0,0863-01,2025-04-09 23:36:06,35.63444900512695 139.73806762695312
3995,L308,24001-1-06-170-1213,169,1.0,0.0,10.0,1357-02,2025-04-09 23:34:39,35.649986267089844 139.72235107421875
3996,H859,24001-1-06-170-1152,169,1.0,0.0,21.0,0574-02,2025-04-09 23:33:58,35.68355941772461 139.71974182128906
3997,T245,24001-2-21-170-1229,169,0.0,0.0,3.0,2001-01,2025-04-09 23:35:41,35.69123840332031 139.70416259765625
3998,F568,24001-2-21-170-1207,169,0.0,0.0,15.0,0014-01,2025-04-09 23:35:01,35.67133712768555 139.7246551513672
3999,H177,24001-2-06-170-1145,169,0.0,0.0,27.0,0867-02,2025-04-09 23:36:06,35.63878631591797 139.73487854003906
4000,E514,44201-1-37-170-1234,122,1.0,0.0,2.0,1516-01,2025-04-09 23:36:26,35.737483978271484 139.66888427734375
4001,F584,44201-1-37-170-1214,122,1.0,0.0,13.0,1529-05,2025-04-09 23:35:57,35.7219352722168 139.70632934570312
4002,G745,44201-1-37-170-1204,122,1.0,0.0,20.0,0799-02,2025-04-09 23:35:23,35.7138557434082 139.72604370117188
4003,F577,44201-1-37-170-1154,122,1.0,0.0,25.0,0140-02,2025-04-09 23:36:11,35.70376968383789 139.7267608642578
4004,F576,44201-1-37-170-1144,122,1.0,0.0,29.0,0102-02,2025-04-09 23:33:30,35.69490432739258 139.7248992919922
4005,F583,44201-1-37-170-1133,122,1.0,0.0,35.0,0334-03,2025-04-09 23:35:12,35.693267822265625 139.70191955566406
4006,F582,44201-2-37-170-1226,122,0.0,0.0,5.0,1235-02,2025-04-09 23:35:27,35.69133377075195 139.7129364013672
4007,L330,44201-2-37-170-1216,122,0.0,0.0,10.0,0141-02,2025-04-09 23:35:59,35.6984977722168 139.72579956054688
4008,E512,44201-2-37-170-1206,122,0.0,0.0,18.0,1531-01,2025-04-09 23:36:04,35.71505355834961 139.72450256347656
4009,K254,44201-2-37-170-1157,122,0.0,0.0,22.0,1530-01,2025-04-09 23:34:15,35.71987533569336 139.71099853515625
4010,C245,44201-2-37-170-1148,122,0.0,0.0,28.0,1486-01,2025-04-09 23:34:40,35.722782135009766 139.68887329101562
4011,G744,44201-2-37-170-1139,122,0.0,0.0,34.0,0162-01,2025-04-09 23:35:56,35.736263275146484 139.6721954345703
4012,C221,44201-2-37-170-1130,122,0.0,0.0,35.0,1516-02,2025-04-09 23:36:17,35.73759460449219 139.66822814941406
4013,F578,44210-1-37-170-1218,122,1.0,0.0,10.0,1486-02,2025-04-09 23:36:19,35.72273635864258 139.6904296875
4014,E397,20201-1-33-170-1232,147,1.0,0.0,3.0,1174-03,2025-04-09 23:36:24,35.70939636230469 139.71600341796875
4015,D361,20201-1-33-170-1211,147,1.0,0.0,11.0,0715-02,2025-04-09 23:34:31,35.69274139404297 139.70416259765625
4016,E518,20201-2-33-170-1220,147,0.0,0.0,5.0,0227-01,2025-04-09 23:34:41,35.69718933105469 139.7071990966797
4017,L309,12001-1-13-170-1220,135,1.0,0.0,8.0,1019-01,2025-04-09 23:35:22,35.701255798339844 139.7157745361328
